SG_PARTIDO;DS_COMPOSICAO_COLIGACAO;ST_REELEICAO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_COR_RACA;DS_GRAU_INSTRUCAO;DS_OCUPACAO;DS_ESTADO_CIVIL;BENS
PMN;AVANTE / PROS / PPS / PMN / REDE;N;57;MASCULINO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO FEDERAL;CASADO(A);920407.27
PATRI;MDB / PR / PATRI;N;39;FEMININO;BRANCA;ENSINO MÉDIO COMPLETO;OUTROS;CASADO(A);NA
PRP;PRP;N;44;MASCULINO;BRANCA;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;DIVORCIADO(A);NA
MDB;MDB / PR / PATRI;N;61;FEMININO;BRANCA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO SUPERIOR;DIVORCIADO(A);1213173.52
PDT;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;S;66;MASCULINO;PRETA;SUPERIOR COMPLETO;DEPUTADO;CASADO(A);1089248.01
PATRI;MDB / PR / PATRI;N;57;MASCULINO;BRANCA;ENSINO MÉDIO COMPLETO;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;CASADO(A);NA
PATRI;MDB / PR / PATRI;N;48;MASCULINO;BRANCA;SUPERIOR COMPLETO;POLICIAL MILITAR;CASADO(A);NA
PSC;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;43;MASCULINO;BRANCA;SUPERIOR COMPLETO;ADMINISTRADOR;DIVORCIADO(A);1249400
MDB;MDB / PR / PATRI;N;40;FEMININO;BRANCA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO MUNICIPAL;SOLTEIRO(A);2,50E+04
REDE;AVANTE / PROS / PPS / PMN / REDE;N;48;FEMININO;PARDA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO MÉDIO;CASADO(A);1,23E+05
PSC;PV / PSDB / PSD / PSC / SOLIDARIEDADE;N;54;MASCULINO;BRANCA;SUPERIOR COMPLETO;MÉDICO;CASADO(A);1704502.23
PHS;PP / PTC / PHS / PPL;N;57;MASCULINO;PRETA;SUPERIOR COMPLETO;TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO;CASADO(A);NA
PTB;PSB / PTB / PRB / PT / DEM / PDT / PC do B / PODE;N;61;MASCULINO;PARDA;SUPERIOR COMPLETO;SERVIDOR PÚBLICO ESTADUAL;CASADO(A);687573.03
